tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3607,2013-06-30 21:48:51,2013-06-30 22:48:58,363,West Thames St,40.70834698,-74.01713445,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,15006,Subscriber,1962.0,1
175,2013-06-30 21:48:51,2013-06-30 21:51:46,319,Fulton St & Broadway,40.711066,-74.009447,319.0,Fulton St & Broadway,40.711066,-74.009447,18845,Customer,,0
375,2013-06-30 21:48:40,2013-06-30 21:54:55,461,E 20 St & 2 Ave,40.73587678,-73.98205027,363.0,West Thames St,40.70834698,-74.01713445,18573,Customer,,0
166,2013-06-30 21:48:56,2013-06-30 21:51:42,360,William St & Pine St,40.70717936,-74.00887308,316.0,Fulton St & William St,40.70955958,-74.00653609,17885,Subscriber,1985.0,1
399,2013-06-30 21:48:58,2013-06-30 21:55:37,263,Elizabeth St & Hester St,40.71759081805981,-73.99622440338135,350.0,Clinton St & Grand St,40.71559509,-73.9870295,17924,Subscriber,1981.0,2
188,2013-06-30 21:49:10,2013-06-30 21:52:18,360,William St & Pine St,40.70717936,-74.00887308,316.0,Fulton St & William St,40.70955958,-74.00653609,17883,Customer,,0
926,2013-06-30 21:43:15,2013-06-30 21:58:41,477,W 41 St & 8 Ave,40.75640548,-73.9900262,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,18992,Subscriber,1968.0,1
700,2013-06-30 21:48:06,2013-06-30 21:59:46,477,W 41 St & 8 Ave,40.75640548,-73.9900262,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,20155,Subscriber,1980.0,1
387,2013-06-30 21:45:44,2013-06-30 21:52:11,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,17822,Subscriber,1961.0,1
2664,2013-06-30 21:49:29,2013-06-30 22:33:53,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,436.0,Hancock St & Bedford Ave,40.68216564,-73.95399026,19402,Customer,,0
911,2013-06-30 21:49:34,2013-06-30 22:04:45,363,West Thames St,40.70834698,-74.01713445,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,16222,Customer,,0
509,2013-06-30 21:49:37,2013-06-30 21:58:06,434,9 Ave & W 18 St,40.74317449,-74.00366443,446.0,W 24 St & 7 Ave,40.74487634,-73.99529885,19200,Customer,,0
1141,2013-06-30 21:49:39,2013-06-30 22:08:40,164,E 47 St & 2 Ave,40.75323098,-73.97032517,349.0,Rivington St & Ridge St,40.71850211,-73.98329859,15698,Customer,,0
831,2013-06-30 21:49:34,2013-06-30 22:03:25,330,Reade St & Broadway,40.71450451,-74.00562789,236.0,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15144,Subscriber,1965.0,1
310,2013-06-30 21:49:51,2013-06-30 21:55:01,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,372.0,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,20250,Subscriber,1984.0,2
875,2013-06-30 21:49:58,2013-06-30 22:04:33,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,247.0,Perry St & Bleecker St,40.73535398,-74.00483091,15520,Subscriber,1971.0,1
1307,2013-06-30 21:49:57,2013-06-30 22:11:44,434,9 Ave & W 18 St,40.74317449,-74.00366443,251.0,Mott St & Prince St,40.72317958,-73.99480012,17096,Subscriber,1987.0,2
1246,2013-06-30 21:50:16,2013-06-30 22:11:02,469,Broadway & W 53 St,40.76344058,-73.98268129,466.0,W 25 St & 6 Ave,40.74395411,-73.99144871,19365,Customer,,0
2845,2013-06-30 21:50:32,2013-06-30 22:37:57,508,W 46 St & 11 Ave,40.76341379,-73.99667444,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,19836,Subscriber,1963.0,1
286,2013-06-30 21:50:49,2013-06-30 21:55:35,116,W 17 St & 8 Ave,40.74177603,-74.00149746,223.0,W 13 St & 7 Ave,40.73781509,-73.99994661,16323,Subscriber,1967.0,1
592,2013-06-30 21:46:05,2013-06-30 21:55:57,464,E 56 St & 3 Ave,40.75934501,-73.96759673,519.0,Pershing Square North,40.751873,-73.977706,20593,Subscriber,1971.0,1
391,2013-06-30 21:50:46,2013-06-30 21:57:17,428,E 3 St & 1 Ave,40.72467721,-73.98783413,538.0,E 48 St & Madison Ave,40.75666,-73.976684,19141,Subscriber,1976.0,1
1463,2013-06-30 21:50:24,2013-06-30 22:14:47,474,5 Ave & E 29 St,40.7451677,-73.98683077,319.0,Fulton St & Broadway,40.711066,-74.009447,15898,Subscriber,1969.0,1
706,2013-06-30 21:50:51,2013-06-30 22:02:37,433,E 13 St & Avenue A,40.72955361,-73.98057249,444.0,Broadway & W 24 St,40.7423543,-73.98915076,17177,Customer,,0
506,2013-06-30 21:51:04,2013-06-30 21:59:30,334,W 20 St & 7 Ave,40.74238787,-73.99726235,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,18349,Subscriber,1977.0,2
1033,2013-06-30 21:51:13,2013-06-30 22:08:26,486,Broadway & W 29 St,40.7462009,-73.98855723,497.0,E 17 St & Broadway,40.73704984,-73.99009296,16944,Customer,,0
1694,2013-06-30 21:51:13,2013-06-30 22:19:27,499,Broadway & W 60 St,40.76915505,-73.98191841,505.0,6 Ave & W 33 St,40.74901271,-73.98848395,19399,Customer,,0
539,2013-06-30 21:51:15,2013-06-30 22:00:14,497,E 17 St & Broadway,40.73704984,-73.99009296,490.0,8 Ave & W 33 St,40.751551,-73.993934,16753,Subscriber,1990.0,1
309,2013-06-30 21:51:27,2013-06-30 21:56:36,384,Fulton St & Washington Ave,40.683048,-73.964915,83.0,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,18129,Subscriber,1970.0,1
1497,2013-06-30 21:51:30,2013-06-30 22:16:27,388,W 26 St & 10 Ave,40.749717753,-74.002950346,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,17781,Subscriber,1968.0,2
884,2013-06-30 21:50:56,2013-06-30 22:05:40,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,293.0,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049,17404,Subscriber,1971.0,1
581,2013-06-30 21:51:41,2013-06-30 22:01:22,449,W 52 St & 9 Ave,40.76461837,-73.98789473,2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151,15967,Subscriber,1952.0,1
555,2013-06-30 21:51:40,2013-06-30 22:00:55,449,W 52 St & 9 Ave,40.76461837,-73.98789473,2006.0,Central Park S & 6 Ave,40.76590936,-73.97634151,17057,Subscriber,1961.0,2
965,2013-06-30 21:50:15,2013-06-30 22:06:20,406,Hicks St & Montague St,40.69512845,-73.99595065,415.0,Pearl St & Hanover Square,40.7047177,-74.00926027,15241,Subscriber,1986.0,2
721,2013-06-30 21:52:00,2013-06-30 22:04:01,473,Rivington St & Chrystie St,40.72110063,-73.9919254,351.0,Front St & Maiden Ln,40.70530954,-74.00612572,15868,Customer,,0
745,2013-06-30 21:50:16,2013-06-30 22:02:41,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,463.0,9 Ave & W 16 St,40.74206539,-74.00443172,20305,Subscriber,1984.0,1
904,2013-06-30 21:52:09,2013-06-30 22:07:13,499,Broadway & W 60 St,40.76915505,-73.98191841,465.0,Broadway & W 41 St,40.75513557,-73.98658032,15721,Subscriber,1983.0,1
